runid: 20200809213021, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.96087635, acc_std: 0.020499805, cv_fold: 5
runid: 20200809213713, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.96365416, acc_std: 0.028798385, cv_fold: 5
runid: 20200809214405, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.96099377, acc_std: 0.026944673, cv_fold: 5
runid: 20200809215123, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.9606808, acc_std: 0.031462546, cv_fold: 5
runid: 20200809215846, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.96099377, acc_std: 0.016083363, cv_fold: 5
runid: 20200809220532, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.97198755, acc_std: 0.025152387, cv_fold: 5
runid: 20200809221211, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.9749217, acc_std: 0.022232546, cv_fold: 5
runid: 20200809221857, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.938615, acc_std: 0.025639664, cv_fold: 5
runid: 20200809222552, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.96087635, acc_std: 0.016307091, cv_fold: 5
runid: 20200809223243, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.960759, acc_std: 0.027332164, cv_fold: 5
runid: 20200809223934, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.9637715, acc_std: 0.025701385, cv_fold: 5
runid: 20200809224618, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.9693271, acc_std: 0.028297603, cv_fold: 5
runid: 20200809225316, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.9777387, acc_std: 0.022552451, cv_fold: 5
runid: 20200809230023, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.9581768, acc_std: 0.0122478595, cv_fold: 5
runid: 20200809230732, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.9692879, acc_std: 0.018403076, cv_fold: 5
runid: 20200809231448, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.9580986, acc_std: 0.02928486, cv_fold: 5
runid: 20200809232205, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.96361494, acc_std: 0.022828562, cv_fold: 5
runid: 20200809232917, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.9300469, acc_std: 0.028250841, cv_fold: 5
runid: 20200810041731, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.9748044, acc_std: 0.013769305, cv_fold: 5
